Review text,Ratings,sentiment,clean_review
Nice product 👍READ MORE,5,1,nice product read
Good product value for moneyREAD MORE,5,1,good product value moneyread
Good qualityREAD MORE,5,1,good qualityread
Bad quality shuttles gone in a week.READ MORE,1,0,bad quality shuttle gone weekread
Perfect for everyoneREAD MORE,5,1,perfect everyoneread
Superb quality with nice packingREAD MORE,5,1,superb quality nice packingread
GoodREAD MORE,5,1,goodread
One of the best shuttle for outdoor playREAD MORE,5,1,one best shuttle outdoor playread
Thank you. Super goodREAD MORE,5,1,thank super goodread
GoodREAD MORE,5,1,goodread
GoodREAD MORE,5,1,goodread
Worst Product... All shuttles are damaged... Old material...READ MORE,1,0,worst product shuttle damaged old materialread
Very bad product returnedREAD MORE,1,0,bad product returnedread
Bad brotactREAD MORE,1,0,bad brotactread
Good productREAD MORE,4,1,good productread
D grade product. 🤮READ MORE,1,0,grade product read
Quality was not goodREAD MORE,3,0,quality goodread
Very badREAD MORE,1,0,badread
GoodREAD MORE,5,1,goodread
NiceREAD MORE,4,1,niceread
GoodREAD MORE,4,1,goodread
Very very badREAD MORE,1,0,badread
Nice Packing and fast deliveryREAD MORE,1,0,nice packing fast deliveryread
Nice but quit expensiveREAD MORE,5,1,nice quit expensiveread
very bad qualityREAD MORE,1,0,bad qualityread
Not in normal quality and very Speed while playingREAD MORE,2,0,normal quality speed playingread
GoodREAD MORE,4,1,goodread
Just perfect for bed.......@@@ ItanagarREAD MORE,5,1,perfect bed itanagarread
Good 👍READ MORE,5,1,good read
"Nowadays it's coming Hardy 2-3 hrs playing onlyQuality is going down, rate is going upNeed to search for alternativeREAD MORE",4,1,nowadays coming hardy hr playing onlyquality going rate going upneed search alternativeread
ExcellentREAD MORE,4,1,excellentread
GoodREAD MORE,5,1,goodread
Good oneREAD MORE,3,0,good oneread
Second quality 👎READ MORE,1,0,second quality read
Very good. Shuttle.READ MORE,4,1,good shuttleread
Super quality ❤❤❤READ MORE,5,1,super quality read
Trusted....and satisfiedREAD MORE,5,1,trustedand satisfiedread
Worst experience with filpkartREAD MORE,1,0,worst experience filpkartread
Good productREAD MORE,5,1,good productread
GoodREAD MORE,5,1,goodread
Best for every badminton playerREAD MORE,4,1,best every badminton playerread
GoodREAD MORE,5,1,goodread
SuperREAD MORE,5,1,superread
Flower damagedREAD MORE,1,0,flower damagedread
GoodREAD MORE,4,1,goodread
Loved it. Ekdum original qualityREAD MORE,5,1,loved ekdum original qualityread
GoodREAD MORE,5,1,goodread
Thanks FlipkartREAD MORE,5,1,thanks flipkartread
Nice productREAD MORE,5,1,nice productread
Good productREAD MORE,5,1,good productread
GoodREAD MORE,5,1,goodread
Products damageREAD MORE,5,1,product damageread
GoodREAD MORE,5,1,goodread
FabulousREAD MORE,5,1,fabulousread
It okayREAD MORE,3,0,okayread
Quality is to badREAD MORE,2,0,quality badread
SuperbREAD MORE,5,1,superbread
"Very low quality cork, i do not expect 4 or 5 games  to go but in the very first game the cork has come out where the feather part stays brqnd new. Such a cheap quality is not expectes from Yonex.READ MORE",2,0,low quality cork expect game go first game cork come feather part stay brqnd new cheap quality expectes yonexread
GoodREAD MORE,5,1,goodread
Good qualityREAD MORE,5,1,good qualityread
GoodREAD MORE,4,1,goodread
NiceREAD MORE,5,1,niceread
Very niceREAD MORE,5,1,niceread
Most of shuttle are flying fast and getting damaged after 3 or 4 gamesREAD MORE,3,0,shuttle flying fast getting damaged gamesread
Good quality shuttle.. even Playing on outdoor...READ MORE,5,1,good quality shuttle even playing outdoorread
Its goodREAD MORE,5,1,goodread
Good 👍READ MORE,5,1,good read
Good product.READ MORE,4,1,good productread
GoodREAD MORE,5,1,goodread
GoodREAD MORE,5,1,goodread
Very niceREAD MORE,5,1,niceread
Very good shuttlecock in outdoor and indoor i love this shuttleREAD MORE,5,1,good shuttlecock outdoor indoor love shuttleread
GoodREAD MORE,5,1,goodread
OkREAD MORE,4,1,okread
Item damagedREAD MORE,1,0,item damagedread
This item is very very poor qualityREAD MORE,5,1,item poor qualityread
Quality is good 🙂🙂READ MORE,5,1,quality good read
Yonex 350 good👍READ MORE,4,1,yonex goodread
GoodREAD MORE,4,1,goodread
Good qualityREAD MORE,5,1,good qualityread
Awesome projection but very low life compared to lining.READ MORE,3,0,awesome projection low life compared liningread
Good qualityREAD MORE,5,1,good qualityread
Very bad quality this time. All the shuttle balls are broken in single match without hitting shots. Usually each ball lasts for 4 days with 8 heavy matches per day. Totally disappointed. Waste of my money.READ MORE,1,0,bad quality time shuttle ball broken single match without hitting shot usually ball last day heavy match per day totally disappointed waste moneyread
GoodREAD MORE,4,1,goodread
"Quality is not expected, play of 1st day cork has brokenREAD MORE",2,0,quality expected play st day cork brokenread
GoodREAD MORE,5,1,goodread
The whole box of 6 shuttle lasted only 1 week... Nowadays 350.manufacturing is heavily affected due to covid resource crunch...they are increasing the price but quality is degrading drastically..READ MORE,1,0,whole box shuttle lasted week nowadays manufacturing heavily affected due covid resource crunchthey increasing price quality degrading drasticallyread
Thanks for quality product sendingREAD MORE,5,1,thanks quality product sendingread
GoodREAD MORE,5,1,goodread
Good 👍🏻READ MORE,5,1,good read
I received mavis 350 shuttle boox but i have not satisfied due to very fast speed an head side is a havy wight.. After two three game after flye will be not a good....READ MORE,5,1,received mavis shuttle boox satisfied due fast speed head side havy wight two three game flye goodread
GoodREAD MORE,5,1,goodread
Good product 👍READ MORE,5,1,good product read
A reliable professional shuttleREAD MORE,5,1,reliable professional shuttleread
Its not orginalREAD MORE,1,0,orginalread
SupabREAD MORE,5,1,supabread
Excellent shuttle just love itREAD MORE,5,1,excellent shuttle love itread
Good for outdoor. Cork weight is balanced. Pretty good life.READ MORE,4,1,good outdoor cork weight balanced pretty good liferead
Just Wao. It was original one. 👌READ MORE,5,1,wao original one read
OkREAD MORE,5,1,okread
Good QualityREAD MORE,4,1,good qualityread
It's goodREAD MORE,5,1,goodread
Best in classREAD MORE,5,1,best classread
Nice product tq FlipkartREAD MORE,5,1,nice product tq flipkartread
HorribleREAD MORE,5,1,horribleread
The product was 2021 model and not good for play..READ MORE,1,0,product model good playread
This time cork was goodREAD MORE,4,1,time cork goodread
SuperREAD MORE,5,1,superread
Quality was too bad. Cork are spinning while Playing.READ MORE,2,0,quality bad cork spinning playingread
Good products thank u flipkartREAD MORE,5,1,good product thank u flipkartread
Great playingREAD MORE,5,1,great playingread
Nice productREAD MORE,5,1,nice productread
ExcellentREAD MORE,5,1,excellentread
Quality of product is poorREAD MORE,3,0,quality product poorread
BestREAD MORE,5,1,bestread
Very nice 👍READ MORE,5,1,nice read
Good product Fast deliveryREAD MORE,5,1,good product fast deliveryread
This is a very good shuttleREAD MORE,5,1,good shuttleread
Good to useREAD MORE,5,1,good useread
Love ❣️ osm qualityREAD MORE,5,1,love osm qualityread
Loved it ☺️☺️☺️READ MORE,4,1,loved read
Nice product. But price is getting too high. And duration is getting reduce.READ MORE,5,1,nice product price getting high duration getting reduceread
Excellent durabilityREAD MORE,5,1,excellent durabilityread
Quality nowadays is very badREAD MORE,3,0,quality nowadays badread
Very goodREAD MORE,4,1,goodread
Good  payREAD MORE,4,1,good payread
Good productREAD MORE,5,1,good productread
Ok not badREAD MORE,3,0,ok badread
Nice and high servicesREAD MORE,5,1,nice high servicesread
Ok good for itREAD MORE,5,1,ok good itread
Too expensiveREAD MORE,1,0,expensiveread
SuperbREAD MORE,5,1,superbread
GoodREAD MORE,5,1,goodread
Go for the bestREAD MORE,4,1,go bestread
Good qualityREAD MORE,5,1,good qualityread
Very bad productREAD MORE,1,0,bad productread
GoodREAD MORE,5,1,goodread
Very worst shuttlesREAD MORE,2,0,worst shuttlesread
Perfect one to play with orginal product.READ MORE,5,1,perfect one play orginal productread
There are not last long enough poor qualityREAD MORE,2,0,last long enough poor qualityread
SuperREAD MORE,5,1,superread
one of the best shuttles i’ve has playedREAD MORE,5,1,one best shuttle ive playedread
Fantastic...READ MORE,5,1,fantasticread
GoodREAD MORE,5,1,goodread
Good one.READ MORE,5,1,good oneread
BestREAD MORE,5,1,bestread
Good....READ MORE,4,1,goodread
NiceREAD MORE,5,1,niceread
GoodREAD MORE,4,1,goodread
AverageREAD MORE,3,0,averageread
"Very bad quality, this ball box worst,READ MORE",1,0,bad quality ball box worstread
Nice productREAD MORE,5,1,nice productread
"Super, not compare with any other products. That quality is awesome.READ MORE",5,1,super compare product quality awesomeread
Good qualityREAD MORE,5,1,good qualityread
NiceREAD MORE,5,1,niceread
ExcellentREAD MORE,5,1,excellentread
I'm order product in original is received so happy thanksREAD MORE,4,1,im order product original received happy thanksread
Very niceREAD MORE,5,1,niceread
NiceREAD MORE,5,1,niceread
NiceREAD MORE,4,1,niceread
GoodREAD MORE,5,1,goodread
Original product long lastingREAD MORE,5,1,original product long lastingread
Super quality product... TQ FLIPKARTREAD MORE,5,1,super quality product tq flipkartread
SuperREAD MORE,5,1,superread
Good goodREAD MORE,5,1,good goodread
good quality and long lifeREAD MORE,5,1,good quality long liferead
GoodREAD MORE,4,1,goodread
Not happyREAD MORE,3,0,happyread
GoodREAD MORE,5,1,goodread
It's good to playREAD MORE,5,1,good playread
GoodREAD MORE,5,1,goodread
GoodREAD MORE,5,1,goodread
Best for allREAD MORE,5,1,best allread
NiceREAD MORE,5,1,niceread
GenuineREAD MORE,5,1,genuineread
GoodREAD MORE,5,1,goodread
Nice qualityREAD MORE,5,1,nice qualityread
Very goodREAD MORE,5,1,goodread
GoodREAD MORE,4,1,goodread
goodREAD MORE,5,1,goodread
SuperREAD MORE,5,1,superread
Shuttle cork has been separated with in 1 hoursREAD MORE,1,0,shuttle cork separated hoursread
Best I loved itREAD MORE,5,1,best loved itread
Good productREAD MORE,5,1,good productread
OriginalREAD MORE,5,1,originalread
Excellent.... It's the Original product...!! Superb & DurableREAD MORE,5,1,excellent original product superb durableread
Good pricingREAD MORE,4,1,good pricingread
"Perfect quality, perfect paking and perfect delivery time as we have expected.READ MORE",5,1,perfect quality perfect paking perfect delivery time expectedread
Best for beginnersREAD MORE,5,1,best beginnersread
Very worst quality.READ MORE,1,0,worst qualityread
Quality was not good at all. Did not last long like the ones we bought locally of the same brand and modelREAD MORE,2,0,quality good last long like one bought locally brand modelread
This is  vary nice productREAD MORE,5,1,vary nice productread
Good shuttleREAD MORE,4,1,good shuttleread
Nice product 🌹🤩🥰🌹READ MORE,5,1,nice product read
Regular customer. Perfect as alwaysREAD MORE,5,1,regular customer perfect alwaysread
Good qualityREAD MORE,4,1,good qualityread
Not badREAD MORE,3,0,badread
Nice oneREAD MORE,5,1,nice oneread
"really original,,READ MORE",5,1,really originalread
Product not goodREAD MORE,1,0,product goodread
Very bad itemREAD MORE,1,0,bad itemread
Not good am not impressedREAD MORE,2,0,good impressedread
GoodREAD MORE,5,1,goodread
"Not good quality this time , not durableREAD MORE",2,0,good quality time durableread
Awesome ❤❤READ MORE,5,1,awesome read
Best product worth for moneyREAD MORE,5,1,best product worth moneyread
ExcellentREAD MORE,5,1,excellentread
Nice productREAD MORE,5,1,nice productread
Very niceREAD MORE,4,1,niceread
Bad life.. tore easilyREAD MORE,2,0,bad life tore easilyread
Not goodREAD MORE,2,0,goodread
SuperREAD MORE,5,1,superread
Good productREAD MORE,4,1,good productread
Mavis is masivREAD MORE,5,1,mavis masivread
Nice 👍👌READ MORE,5,1,nice read
SuperbREAD MORE,4,1,superbread
GoodREAD MORE,4,1,goodread
Worth every penny...READ MORE,5,1,worth every pennyread
Very goodREAD MORE,4,1,goodread
Price is toooo high..READ MORE,3,0,price toooo highread
"Original product, I've been playing for more than 5 yrs. No defects found yet.READ MORE",5,1,original product ive playing yr defect found yetread
GoodREAD MORE,5,1,goodread
NiceREAD MORE,5,1,niceread
Original product...Worth for the moneyREAD MORE,5,1,original productworth moneyread
Bad productREAD MORE,1,0,bad productread
nice product and delivered on time....READ MORE,4,1,nice product delivered timeread
NiceREAD MORE,5,1,niceread
Very bad shuttle..Broken very fastREAD MORE,1,0,bad shuttlebroken fastread
Nice helpful for my delay practice 👍👍👍👍READ MORE,5,1,nice helpful delay practice read
Nice oneREAD MORE,5,1,nice oneread
Good for itREAD MORE,4,1,good itread
Good Enough.READ MORE,4,1,good enoughread
NiceREAD MORE,5,1,niceread
Very good product and the seller cooperation is wonderful 😊.READ MORE,5,1,good product seller cooperation wonderful read
GoodREAD MORE,4,1,goodread
"Doesn't stays slow after 1 day of a game. Writes slow, doesn't stand a chanceREAD MORE",3,0,doesnt stay slow day game writes slow doesnt stand chanceread
"Bad product, bottom side quality is too bad,fake product , didn't expect from Yonex and FlipkartREAD MORE",1,0,bad product bottom side quality badfake product didnt expect yonex flipkartread
Excellent productREAD MORE,5,1,excellent productread
Original and good quality...READ MORE,5,1,original good qualityread
SuperbREAD MORE,4,1,superbread
Nice ProductREAD MORE,5,1,nice productread
SuperREAD MORE,5,1,superread
Yonex std quality alwaysREAD MORE,4,1,yonex std quality alwaysread
Very good nice quality 👍☺️👍☺️👍👍☺️☺️READ MORE,5,1,good nice quality read
ExcellentREAD MORE,5,1,excellentread
Very nice productREAD MORE,5,1,nice productread
Outstanding shuttle osmm experience while playingREAD MORE,5,1,outstanding shuttle osmm experience playingread
Worst product. All shuttle break from cork.READ MORE,1,0,worst product shuttle break corkread
"This is even better than 2000. It's Cork is stronger and hence more durable. But in 2000, shuttle is better but it detaches itself easily from Cork and less durable.READ MORE",5,1,even better cork stronger hence durable shuttle better detaches easily cork less durableread
In time keep it upREAD MORE,5,1,time keep upread
ExcellentREAD MORE,5,1,excellentread
GoodREAD MORE,5,1,goodread
NiceREAD MORE,3,0,niceread
Thanks Lot for Quick delivery. Nice experience.READ MORE,5,1,thanks lot quick delivery nice experienceread
NiceREAD MORE,5,1,niceread
Really niceREAD MORE,5,1,really niceread
Out of 6 box one of the box is not good Its base is coming out in one game only just 15 mins game.It has happens for 4 shuttle of the se box.READ MORE,2,0,box one box good base coming one game min gameit happens shuttle se boxread
GoodREAD MORE,5,1,goodread
AwesomeREAD MORE,3,0,awesomeread
"Quality and rates are very good, what else is required after thatREAD MORE",5,1,quality rate good else required thatread
Awesome products.....but only problem is priceREAD MORE,5,1,awesome productsbut problem priceread
Good product but it's price was so high...READ MORE,5,1,good product price highread
FineREAD MORE,4,1,fineread
This time quality is best 🔥🔥READ MORE,5,1,time quality best read
PerfectREAD MORE,4,1,perfectread
GoodREAD MORE,5,1,goodread
Product Is Vey Much Bad ....And the price Dosn't Match With The quality ..very Bad productREAD MORE,1,0,product vey much bad price dosnt match quality bad productread
Good product but i was using mavis 350 so there is no compare but the shuttle is very weak.playing arround 30 mins the upper material got damagedREAD MORE,3,0,good product using mavis compare shuttle weakplaying arround min upper material got damagedread
Very good shuttleREAD MORE,5,1,good shuttleread
Quality was not good....READ MORE,1,0,quality goodread
Super hitREAD MORE,5,1,super hitread
I got the bad quality one 😢READ MORE,3,0,got bad quality one read
GreatREAD MORE,5,1,greatread
good productREAD MORE,4,1,good productread
NiceREAD MORE,5,1,niceread
NycREAD MORE,1,0,nycread
4 to 6 games only it will be new shuttle.. after that shuttle swinging irregularlyREAD MORE,3,0,game new shuttle shuttle swinging irregularlyread
Worst quality... Shuttles are shaking while playing... Bad quality.READ MORE,1,0,worst quality shuttle shaking playing bad qualityread
"Best in market, but durability is less.READ MORE",3,0,best market durability lessread
Worst on recent times.We played new Ball today.Two balls bottom tape were gone within 2 hours.I attach with image.The last two delivery was only worst.We are intermediate players and playing doubles.A single ball can stand atleast two day but last two delivery whole 6 balls were damaged within 3 days.READ MORE,1,0,worst recent timeswe played new ball todaytwo ball bottom tape gone within hoursi attach imagethe last two delivery worstwe intermediate player playing doublesa single ball stand atleast two day last two delivery whole ball damaged within daysread
Good QualityREAD MORE,5,1,good qualityread
Quality of product is very good but speed is very high.READ MORE,4,1,quality product good speed highread
NiceREAD MORE,3,0,niceread
Good productREAD MORE,5,1,good productread
"All the shuttle bottom got broken, waste of money..READ MORE",1,0,shuttle bottom got broken waste moneyread
NiceREAD MORE,5,1,niceread
good product value of moneyREAD MORE,5,1,good product value moneyread
Not as good as per it's priceREAD MORE,1,0,good per priceread
NiceREAD MORE,5,1,niceread
Good and long lastingREAD MORE,5,1,good long lastingread
Worst product.it lasts only two days (each cork)READ MORE,1,0,worst productit last two day corkread
Not badREAD MORE,1,0,badread
Got few defective but then got replaced. Now these are very good to play.READ MORE,5,1,got defective got replaced good playread
Poor quality not byingREAD MORE,2,0,poor quality byingread
GoodREAD MORE,5,1,goodread
Best 👍👍👍👍READ MORE,5,1,best read
Worst qualityREAD MORE,1,0,worst qualityread
Nice shuttle for beginners to intermediate players. Very very good for practice.READ MORE,5,1,nice shuttle beginner intermediate player good practiceread
Product not good...READ MORE,1,0,product goodread
Good QualityREAD MORE,5,1,good qualityread
BestREAD MORE,5,1,bestread
The quality was bad and it didn't lasted for even a month.READ MORE,1,0,quality bad didnt lasted even monthread
Nice productREAD MORE,5,1,nice productread
Quality is very poor...READ MORE,2,0,quality poorread
Good productREAD MORE,5,1,good productread
Bad productREAD MORE,1,0,bad productread
Much costlier in winter season.READ MORE,3,0,much costlier winter seasonread
Amazing shuttlesREAD MORE,5,1,amazing shuttlesread
GoodREAD MORE,5,1,goodread
NiceREAD MORE,5,1,niceread
Awesome but price is very HighREAD MORE,5,1,awesome price highread
Too costly.Hardly lasts for a day.READ MORE,5,1,costlyhardly last dayread
ExcellentREAD MORE,5,1,excellentread
Very BadShuttle broke after 1 gameREAD MORE,2,0,badshuttle broke gameread
GoodREAD MORE,5,1,goodread
Good shuttlecockREAD MORE,5,1,good shuttlecockread
You did wonderful jobREAD MORE,5,1,wonderful jobread
Good productREAD MORE,5,1,good productread
Very good productREAD MORE,4,1,good productread
Good 👍👍👍READ MORE,5,1,good read
"Don't buy this , it was a worst purchase ever. Can't play more than one game with this shuttleREAD MORE",1,0,dont buy worst purchase ever cant play one game shuttleread
👍🏸🏸 shuttlecock with nice and long durability .its value for money🤑🤑🏸🏸🏸READ MORE,5,1,shuttlecock nice long durability value moneyread
GoodREAD MORE,5,1,goodread
Best shuttles for indoor gamesREAD MORE,5,1,best shuttle indoor gamesread
quality poorREAD MORE,1,0,quality poorread
GoodREAD MORE,5,1,goodread
Very good product without any confusionREAD MORE,5,1,good product without confusionread
It's the s good qualityREAD MORE,5,1,good qualityread
Quality of the product was too badREAD MORE,1,0,quality product badread
Bad qualityREAD MORE,5,1,bad qualityread
Wonderful product 👍👍READ MORE,4,1,wonderful product read
GoodREAD MORE,5,1,goodread
Good productREAD MORE,5,1,good productread
Nice product. fast deliveryREAD MORE,4,1,nice product fast deliveryread
Very bad quality shuttle Torn the mesh only within 3gamesREAD MORE,1,0,bad quality shuttle torn mesh within gamesread
It was originalREAD MORE,5,1,originalread
Genuine product performed as expectedREAD MORE,5,1,genuine product performed expectedread
full mostiREAD MORE,5,1,full mostiread
Nice oneREAD MORE,5,1,nice oneread
SuperREAD MORE,5,1,superread
Received the original product and it’s awesome.READ MORE,5,1,received original product awesomeread
GoodREAD MORE,5,1,goodread
GoodREAD MORE,5,1,goodread
OriginalREAD MORE,5,1,originalread
Base of shuttle is very low quality.READ MORE,2,0,base shuttle low qualityread
Quality not goodREAD MORE,2,0,quality goodread
Bad colourREAD MORE,2,0,bad colourread
Good qualityREAD MORE,5,1,good qualityread
Not expected that yonex sales such default shuttlesREAD MORE,1,0,expected yonex sale default shuttlesread
Orginal item goodREAD MORE,4,1,orginal item goodread
Very good product One shuttle you have to play minimum ten gsmesREAD MORE,5,1,good product one shuttle play minimum ten gsmesread
BestREAD MORE,4,1,bestread
"Really bad experience,,  some of them is very poor quality..  Don't go for itREAD MORE",2,0,really bad experience poor quality dont go itread
Super shuttleREAD MORE,5,1,super shuttleread
It's awesomeREAD MORE,4,1,awesomeread
SupportREAD MORE,5,1,supportread
Best shuttleREAD MORE,5,1,best shuttleread
Very bad quality and very high price not acceptable this range .READ MORE,3,0,bad quality high price acceptable range read
PerfectREAD MORE,5,1,perfectread
Nice productREAD MORE,5,1,nice productread
Very good product.READ MORE,4,1,good productread
All shuttles were too bad. They are breaking easily after 3-4 gamesREAD MORE,1,0,shuttle bad breaking easily gamesread
Quality of this  product purchased online is poor as compared to offline stores.👎🏼READ MORE,2,0,quality product purchased online poor compared offline storesread
Cork is slowREAD MORE,3,0,cork slowread
Not DurableREAD MORE,3,0,durableread
Long lasts than other nylon shuttleREAD MORE,5,1,long last nylon shuttleread
GoodREAD MORE,5,1,goodread
Good 👍READ MORE,4,1,good read
ExcellentREAD MORE,5,1,excellentread
Genuine product and no used ones luckilyREAD MORE,5,1,genuine product used one luckilyread
GoodREAD MORE,3,0,goodread
Good jobREAD MORE,5,1,good jobread
Very bad qualityREAD MORE,5,1,bad qualityread
NiceREAD MORE,4,1,niceread
GoodREAD MORE,5,1,goodread
Thanks for delivery in timeREAD MORE,5,1,thanks delivery timeread
GoodREAD MORE,5,1,goodread
GoodREAD MORE,5,1,goodread
It's niceREAD MORE,4,1,niceread
NiceREAD MORE,5,1,niceread
Great stuff♥️READ MORE,5,1,great stuffread
Nice tqREAD MORE,5,1,nice tqread
Long lastingREAD MORE,5,1,long lastingread
Good product but his price is very high...READ MORE,5,1,good product price highread
ExcellentREAD MORE,5,1,excellentread
NiceREAD MORE,5,1,niceread
GoodREAD MORE,5,1,goodread
NiceREAD MORE,5,1,niceread
NiceREAD MORE,3,0,niceread
An original yonex shuttle. Decent price as compared to the market. Durability is not that much. It would hardly last 6-7 matches at max. But the flight path is very predictable and is a very good option and more durable in comparison to the feather shuttle.READ MORE,4,1,original yonex shuttle decent price compared market durability much would hardly last match max flight path predictable good option durable comparison feather shuttleread
Mind blowingREAD MORE,5,1,mind blowingread
Didn't last long. Normaly one shuttle is good for 3 day but this one work for 1 day only. And every time shuttle got destroyed it always got broke from from part only.READ MORE,3,0,didnt last long normaly one shuttle good day one work day every time shuttle got destroyed always got broke part onlyread
Very good.READ MORE,5,1,goodread
Good one I like itREAD MORE,5,1,good one like itread
Very nice productsREAD MORE,5,1,nice productsread
Got original productREAD MORE,5,1,got original productread
Little slow than normal shuttle.READ MORE,3,0,little slow normal shuttleread
Well brandREAD MORE,5,1,well brandread
Nice productREAD MORE,4,1,nice productread
This is my fourth order ...🥲🥲🥲 recieved 10 rupees shuttlesREAD MORE,5,1,fourth order recieved rupee shuttlesread
GoodREAD MORE,5,1,goodread
Good qualityREAD MORE,4,1,good qualityread
Good productREAD MORE,5,1,good productread
Good productREAD MORE,5,1,good productread
All got broken so soon.READ MORE,2,0,got broken soonread
Good quality 👍READ MORE,5,1,good quality read
Good quality. Delivered on time .READ MORE,4,1,good quality delivered time read
Good productREAD MORE,5,1,good productread
Unlike my earlier purchases this is not even lasting for  2 days .READ MORE,2,0,unlike earlier purchase even lasting day read
Low quality... don't buy online😖READ MORE,1,0,low quality dont buy onlineread
Looks genuine with great qualityREAD MORE,5,1,look genuine great qualityread
Good productREAD MORE,5,1,good productread
Quality is very poor..READ MORE,2,0,quality poorread
No goodREAD MORE,2,0,goodread
SuperbREAD MORE,4,1,superbread
GoodREAD MORE,3,0,goodread
Good Product but Delivery is too late...READ MORE,3,0,good product delivery lateread
This is the original product. Buy with no hesitationREAD MORE,5,1,original product buy hesitationread
Very nice and good quality service.....thanks flipkart and team.READ MORE,5,1,nice good quality servicethanks flipkart teamread
Super ❤️READ MORE,4,1,super read
GoodREAD MORE,4,1,goodread
FineREAD MORE,5,1,fineread
Too goodREAD MORE,5,1,goodread
Bad product..... Waste of money😡Don't buy this productREAD MORE,1,0,bad product waste moneydont buy productread
Very nice product.. Delivered in only 1 day.. Super super super 👍👍👍READ MORE,5,1,nice product delivered day super super super read
SuperREAD MORE,5,1,superread
Its good but slow moveREAD MORE,4,1,good slow moveread
SuperREAD MORE,5,1,superread
Good boyREAD MORE,5,1,good boyread
niceREAD MORE,5,1,niceread
Very good qualityREAD MORE,4,1,good qualityread
Original product.  Liked itREAD MORE,5,1,original product liked itread
Durability is very poor in compare with before...READ MORE,3,0,durability poor compare beforeread
GoodREAD MORE,4,1,goodread
This easy to playREAD MORE,5,1,easy playread
NiceREAD MORE,5,1,niceread
Good product. Original Yonex.READ MORE,5,1,good product original yonexread
GoodREAD MORE,4,1,goodread
As usual it's a good one. Its YonexREAD MORE,4,1,usual good one yonexread
BestREAD MORE,5,1,bestread
nice shuttle for reasonable price. the flight doesnt alter much even after 6 or 7 games. far better than those purchased from local storesREAD MORE,5,1,nice shuttle reasonable price flight doesnt alter much even game far better purchased local storesread
ExcellentREAD MORE,5,1,excellentread
Best shuttle for practiceREAD MORE,5,1,best shuttle practiceread
Marvellous product.READ MORE,5,1,marvellous productread
Good oneREAD MORE,5,1,good oneread
Quality not goodREAD MORE,1,0,quality goodread
SuperREAD MORE,5,1,superread
GoodREAD MORE,5,1,goodread
GoodREAD MORE,5,1,goodread
Awesome product 👍🏻READ MORE,5,1,awesome product read
NiceREAD MORE,5,1,niceread
poor QualityREAD MORE,1,0,poor qualityread
Product quantity to badREAD MORE,2,0,product quantity badread
GoodREAD MORE,5,1,goodread
Nice productREAD MORE,4,1,nice productread
GoodREAD MORE,5,1,goodread
NiceREAD MORE,5,1,niceread
BestREAD MORE,4,1,bestread
not goodREAD MORE,1,0,goodread
Not that good ququalityREAD MORE,1,0,good ququalityread
SuperREAD MORE,4,1,superread
genuine product thank you flipkartREAD MORE,4,1,genuine product thank flipkartread
I'm an intermediate player. The shuttle easily lasts for 10-15 games without any problem. Can be used for casual outdoor games.READ MORE,5,1,im intermediate player shuttle easily last game without problem used casual outdoor gamesread
Best!READ MORE,5,1,bestread
Not badREAD MORE,3,0,badread
GREAT SELLER REPLACEMENT DELIVERY IN 2 daysREAD MORE,5,1,great seller replacement delivery daysread
Good QualityREAD MORE,4,1,good qualityread
Nice qualityREAD MORE,5,1,nice qualityread
GoodREAD MORE,5,1,goodread
"Instead of Mavis 350,I got Mavis 2000i.That product is also duplicate. I am quite frustrated. Please don't buy this product.READ MORE",1,0,instead mavis got mavis ithat product also duplicate quite frustrated please dont buy productread
AverageREAD MORE,1,0,averageread
Best qualityREAD MORE,5,1,best qualityread
NiceREAD MORE,5,1,niceread
Amazing priceREAD MORE,5,1,amazing priceread
"The product and pacaging is very good 👌, thank you flipkartREAD MORE",5,1,product pacaging good thank flipkartread
AwesomeREAD MORE,5,1,awesomeread
Very goodREAD MORE,5,1,goodread
Not badREAD MORE,3,0,badread
ExcellentREAD MORE,5,1,excellentread
"Must buy , value for moneyREAD MORE",5,1,must buy value moneyread
ValuableREAD MORE,5,1,valuableread
SuperREAD MORE,5,1,superread
Iam order this cockes are quality is not good and speed is slow bad productREAD MORE,1,0,iam order cockes quality good speed slow bad productread
Good oneREAD MORE,4,1,good oneread
Not good and bottom of corck damage early when we ply not sticky we believe Yonex but this was not  good productREAD MORE,3,0,good bottom corck damage early ply sticky believe yonex good productread
Very good goodREAD MORE,5,1,good goodread
Very good qualityREAD MORE,5,1,good qualityread
WorthyREAD MORE,4,1,worthyread
Product is good.READ MORE,4,1,product goodread
Good productREAD MORE,4,1,good productread
Nice packing  good qualityREAD MORE,5,1,nice packing good qualityread
OkREAD MORE,5,1,okread
Nice productREAD MORE,4,1,nice productread
GoodREAD MORE,5,1,goodread
Best badminton shuttle nothing is better than this product Just a little expensive but is the best !READ MORE,5,1,best badminton shuttle nothing better product little expensive best read
The price of this product is highREAD MORE,3,0,price product highread
SuperbREAD MORE,4,1,superbread
GoodREAD MORE,5,1,goodread
Speed of the shuttle is not not as per standard Yonex Mavis 350?READ MORE,2,0,speed shuttle per standard yonex mavis read
Good qualityREAD MORE,5,1,good qualityread
GoodREAD MORE,5,1,goodread
Good you such definetely go for it 👍👍🤞READ MORE,5,1,good definetely go read
